ref_line	ref_widx	lemma	n_readings	apparatus	omit
208	1152	προέξουσʼ	2	προέξουσ᾽ [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  προρέξουσ᾽ [hermann]	
210	1167	ἐξ	2	ἐξ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  ἔκ [bothe,lj]	
211	1175	Κρέον,	4	Κρέον, [benloew,bothe,brown,dawe,hermann,jebb,reinhardt,storr]  |  ποεῖν, [colonna,griffith,lj,pearson]  |  Κρέων, [boeckh]  |  παθεῖν [dain]	
212	1179	κἀς	2	καὶ [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,lj,pearson,reinhardt]  |  κἀς [jebb,storr]	
213	1183	νόμῳ	2	νόμῳ [benloew,boeckh,bothe,brown,colonna,dain,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  γόμωι [dawe]	
213	1187	που	3	πού [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,jebb,pearson,reinhardt,storr]  |  πάντ᾽ [hermann]  |  τοῦτ᾿ [lj]	
213	1188	πάρεστί	4	γ᾽ [benloew,boeckh,brown,dain,dawe,griffith,jebb,pearson,reinhardt]  |  τ᾽ [bothe,colonna]  |  ἔνεστί [hermann,lj]  |  πάρεστί [storr]	
214	1193	χὠπόσοι	2	χὠπόσοι [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  χᾡπόσοι [bothe]	
215	1200	εἶτε	2	ἦτε [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt]  |  εἶτε [storr]	
217	1213	γʼ	2	γ᾽ [boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  τ᾽ [benloew]	
218	1218	ἄλλο	3	ἄλλο [benloew,bothe,brown,colonna,dain,dawe,griffith,jebb,pearson,reinhardt,storr]  |  ἄλλῳ [boeckh,hermann]  |  ἄλλ᾿ [lj]	
218	1219	τοῦτʼ	3	τοῦτ᾽ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  τοῦδ᾽ [bothe]  |  ἐκ [lj]	
223	1254	τάχους	2	τάχους [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,reinhardt,storr]  |  σπουδῆς [pearson]	
225	1263	ἔσχον	2	ἔσχον [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  εὗρον [bothe]	
227	1274	πολλά	2	πολλά [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  πόλλ᾽ [bothe]	
227	1275	μοι	2	μοι [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἐμοὶ [bothe]	
228	1277	τάλας,	2	τάλας, [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,pearson,reinhardt,storr]  |  “τάλας, [lj]	
229	1287	κεἰ	2	κεἰ [benloew,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  καὶ [boeckh]	
230	1298	ἀλγύνει;	3	ἀλγυνῆι; [brown,colonna,dain,dawe,griffith,pearson,reinhardt]  |  ἀλγυνεῖ [benloew,boeckh,bothe,hermann,jebb,storr]  |  ἀλγυνῇ;” [lj]	
231	1303	βραδύς.	2	βραδύς· [benloew,brown,colonna,griffith,jebb,lj,pearson,reinhardt,storr]  |  ταχύς, [boeckh,bothe,dain,dawe,hermann]	
233	1311	μέντοι	2	μέντοι [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  μέν [benloew,bothe]	
241	1369	στοχάζει	4	στοχάζει, [benloew,boeckh,bothe,hermann,jebb,storr]  |  στοχάζῃ [colonna,dain,dawe,griffith,lj,reinhardt]  |  στεγάζηι [brown]  |  στιχίζῃ [pearson]	
241	1370	κἀποφάργνυσαι	2	κἀποφάργνυσαι [boeckh,brown,dawe,griffith,jebb,lj,pearson,storr]  |  κἀποφράγνυσαι [benloew,bothe,colonna,dain,hermann,reinhardt]	
242	1378	σημανῶν	2	σημανῶν [benloew,boeckh,bothe,brown,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  σημαίνων [colonna,dain]	
248	1412	φής;	2	φής; [benloew,boeckh,bothe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  φήις; [brown,colonna,dain,dawe]	
250	1430	ἐκβολή.	2	ἐκβολή· [benloew,boeckh,bothe,colonna,dain,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἐμβολή· [brown,dawe]	
250	1433	γῆ	2	γῆ, [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  τ᾽ [bothe]	
